Date,Tesla Stock Price,%-Change,Change,Text,likes,retweets,replys,polarity_textblob,sentiment_textblob,polarity_nltk,sentiment_nltk
2019-12-02,66.9739990234375,1.4942111846685036,Higher,people often think theyre breathing oxygen but are actually breathing nitrogen 78 with a side serving of oxygen 21 in argon sauce 1 spiced up with co2 h2o  a dash of neon  krypton etc.,309544,38532,6911,0.0,neutral,0.0,neutral
2019-12-02,66.9739990234375,1.4942111846685036,Higher,hydrogen is a light odorless gas which given enough time turns into people who will make this statement,163710,11521,2565,0.2,positive,0.0,neutral
2019-12-03,67.23999786376953,0.3971673249479224,Higher, after a while hydrogen became sentient,2272,89,102,0.0,neutral,0.0,neutral
2019-12-03,67.23999786376953,0.3971673249479224,Higher,   bravo right thing to do! short selling should be illegal.,2894,218,345,-0.04761904761904764,negative,-0.5983,negative
2019-12-04,66.60600280761719,-0.9428838136444351,Lower,launching third flight of this dragon spacecraft to  tomorrow ,30905,1942,639,0.0,neutral,0.0,neutral
2019-12-09,67.90599822998047,1.0836833650287758,Higher,  yeah its one of my favorite tshirts!,12671,251,172,0.625,positive,0.6696,positive
2019-12-10,69.76799774169922,2.7420250938843926,Higher,  they smashed the window to steal the radio which was worth maybe 20. got a replacement from junkyard. btw great deals available from junkyards! its pretty fun fixingupgrading cars.,10541,287,261,0.43,positive,0.8622,positive
2019-12-10,69.76799774169922,2.7420250938843926,Higher,  yeah 1978 320i that i bought in 93 for 1400. i hotrodded it by jamming in a 5 speed transmission from a later model i found in a philly junkyard when the 4 speed transmission failed.,3806,140,90,-0.25,negative,-0.2732,negative
2019-12-10,69.76799774169922,2.7420250938843926,Higher, couldnt afford to pay for repairs so i fixed almost everything on that car from parts in the junkyard. ironically thats me replacing broken side window glass. the circle is complete lol.,44162,2610,500,0.15,positive,-0.001,negative
2019-12-10,69.76799774169922,2.7420250938843926,Higher, maybe on starship? its def got the payload capacity ,6577,253,259,0.0,neutral,0.0,neutral
2019-12-10,69.76799774169922,2.7420250938843926,Higher,           just wish russ mitchell would improve the quality of his fiction. is this too much to ask!?,1271,105,167,0.25,positive,0.7088,positive
